City,IATA Code,Lowest Price,Flight Date,Date Found,Times Updated
"New Bern, North Carolina",EWN,,,,0
Thailand,"HKT,BKK",504,2025-05-05,2025-04-27,14
Ho Chi Minh City,SGN,593,2025-09-01,2025-05-01,12
CEBU Philippines,CEB,473,2025-07-07,2025-05-07,15
Manila Philippines,MNL,455,2025-07-26,2025-05-07,16
Rio,RIO,1310,2025-05-12,2025-05-04,21
Barcelona,BCN,347,2025-05-17,2025-05-07,19
London,LON,196,2025-05-11,2025-05-01,22
Dallas,DFW,67,2025-06-25,2025-04-23,7
Amsterdam,AMS,436,2025-05-12,2025-05-04,15
Tokyo,TYO,346,2025-07-07,2025-05-07,10
Osaka,OSA,417,2025-07-28,2025-05-07,17
Seoul,SEL,398,2025-09-21,2025-04-17,15
Busan,PUS,455,2025-04-30,2025-04-24,17
Jeju,CJU,561,2025-07-05,2025-05-07,19
Alaska,ANC,214,2025-08-27,2025-05-06,14
Montreal,YUL,166,2025-05-08,2025-04-30,18
Albuquerque,ABQ,103,2025-06-11,2025-05-07,15
Rome,FCO,295,2025-05-11,2025-05-04,20
Taipei,TPE,482,2025-07-23,2025-05-06,18
Miami,MIA,41,2025-04-28,2025-04-27,5
Los Angeles ,LAX,41,2025-05-02,2025-04-30,4
Athens ,ATH,263,2025-05-14,2025-05-07,5
